Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
2.500000000000000000e+01	-5.117400838019995746e+01	-4.532400578610028674e+01	-4.532400578610705821e+01	-5.117400838020490994e+01	7.118751517688501451e+01	1.725026251721627943e+02	-7.497374827763731986e+00	7.118751517743793045e+01
2.550000000000000000e+01	-5.089736954274543024e+01	-4.521287165335245106e+01	-4.521287165337721348e+01	-5.089736954273490710e+01	7.115393753399655452e+01	1.722527034790668097e+02	-7.747296520745915238e+00	7.115393753409087196e+01
2.600000000000000000e+01	-5.062013690578784519e+01	-4.509816598373176078e+01	-4.509816598373802066e+01	-5.062013690579832570e+01	7.110369086346911160e+01	1.719941301319532272e+02	-8.005869868038498538e+00	7.110369086374063841e+01
2.650000000000000000e+01	-5.034209709825802292e+01	-4.497977635864705803e+01	-4.497977635864457824e+01	-5.034209709830975044e+01	7.103665996181807429e+01	1.717263575380676741e+02	-8.273642462019903832e+00	7.103665996195206844e+01
2.700000000000000000e+01	-5.006303531698068809e+01	-4.485758412156687314e+01	-4.485758412155079355e+01	-5.006303531704620013e+01	7.095265597244561206e+01	1.714487946314414728e+02	-8.551205368393555162e+00	7.095265597249142786e+01
2.750000000000000000e+01	-4.978273465383296070e+01	-4.473146398702643012e+01	-4.473146398701904047e+01	-4.978273465385322538e+01	7.085141453000420597e+01	1.711608024602914213e+02	-8.839197539387111391e+00	7.085141453025265434e+01
2.800000000000000000e+01	-4.950097541578281835e+01	-4.460128362361167831e+01	-4.460128362358477716e+01	-4.950097541580541360e+01	7.073259311861032472e+01	1.708616892395766342e+02	-9.138310760458786319e+00	7.073259311846746300e+01
2.850000000000000000e+01	-4.921753443477480516e+01	-4.446690320980326305e+01	-4.446690320980653155e+01	-4.921753443476085010e+01	7.059576759362661846e+01	1.705507047952089579e+02	-9.449295204784174729e+00	7.059576759370902721e+01
2.900000000000000000e+01	-4.893218436639975977e+01	-4.432817496225142406e+01	-4.432817496226547860e+01	-4.893218436638643709e+01	7.044042781439353007e+01	1.702270343136601127e+02	-9.772965686453957801e+00	7.044042781391581798e+01
2.950000000000000000e+01	-4.864469297511887902e+01	-4.418494263590471860e+01	-4.418494263586956805e+01	-4.864469297509769774e+01	7.026597229363913755e+01	1.698897912918206430e+02	-1.011020870837315044e+01	7.026597229362117503e+01
3.000000000000000000e+01	-4.835482240603198534e+01	-4.403704099604478728e+01	-4.403704099607121236e+01	-4.835482240609158566e+01	7.007170178288687623e+01	1.695380095741543869e+02	-1.046199042572775362e+01	7.007170178291089258e+01
3.050000000000000000e+01	-4.806232844310144259e+01	-4.388429526460229368e+01	-4.388429526461156627e+01	-4.806232844310898145e+01	6.985681165611501342e+01	1.691706343379085240e+02	-1.082936566214623930e+01	6.985681165625970834e+01
3.100000000000000000e+01	-4.776695975397849736e+01	-4.372652054054164950e+01	-4.372652054053869364e+01	-4.776695975400688354e+01	6.962038295677805877e+01	1.687865118620405838e+02	-1.121348813787779974e+01	6.962038295683606748e+01
3.150000000000000000e+01	-4.746845712685464491e+01	-4.356352120062761912e+01	-4.356352120060818578e+01	-4.746845712689628272e+01	6.936137193209302154e+01	1.683843779020192528e+02	-1.161562209786382383e+01	6.936137193244579180e+01
3.200000000000000000e+01	-4.716655270123196431e+01	-4.339509028425020176e+01	-4.339509028424395609e+01	-4.716655270128327260e+01	6.907859784308760709e+01	1.679628444390403956e+02	-1.203715556084617688e+01	6.907859784316188723e+01
3.250000000000000000e+01	-4.686096920255945264e+01	-4.322100887196783958e+01	-4.322100887197259311e+01	-4.686096920253730502e+01	6.877072880393058085e+01	1.675203845545121908e+02	-1.247961544544156176e+01	6.877072880372313080e+01
3.300000000000000000e+01	-4.655141919106876003e+01	-4.304104546951650434e+01	-4.304104546951305110e+01	-4.655141919111677851e+01	6.843626535788249043e+01	1.670553151208058864e+02	-1.294468487921002442e+01	6.843626535795425525e+01
3.350000000000000000e+01	-4.623760434244137230e+01	-4.285495541441147083e+01	-4.285495541442405454e+01	-4.623760434242731776e+01	6.807352144012342876e+01	1.665657769549222280e+02	-1.343422304509727994e+01	6.807352144012716622e+01
3.400000000000000000e+01	-4.591921478180296390e+01	-4.266248032933987844e+01	-4.266248032933614809e+01	-4.591921478179774851e+01	6.768060231109369340e+01	1.660497120106607554e+02	-1.395028798911030066e+01	6.768060231087511625e+01
3.450000000000000000e+01	-4.559592850545450204e+01	-4.246334765467857153e+01	-4.246334765467030081e+01	-4.559592850545779186e+01	6.725537897612420579e+01	1.655048371192906700e+02	-1.449516288077711579e+01	6.725537897629402551e+01
3.500000000000000000e+01	-4.526741093268097416e+01	-4.225727030512193494e+01	-4.225727030512957327e+01	-4.526741093272916316e+01	6.679545851210610863e+01	1.649286136878086495e+02	-1.507138631205198820e+01	6.679545851214939489e+01
3.550000000000000000e+01	-4.493331464888662197e+01	-4.204394651076849954e+01	-4.204394651076793110e+01	-4.493331464889198656e+01	6.629814961711630872e+01	1.643182126785636683e+02	-1.568178732140483689e+01	6.629814961710259524e+01
3.600000000000000000e+01	-4.459327942015727331e+01	-4.182305992444472764e+01	-4.182305992445456155e+01	-4.459327942016909674e+01	6.576042258781257033e+01	1.636704740533330664e+02	-1.632952594658973666e+01	6.576042258771630600e+01
3.650000000000000000e+01	-4.424693259088791564e+01	-4.159428010571269851e+01	-4.159428010573101631e+01	-4.424693259090783926e+01	6.517886278034349345e+01	1.629818597500383532e+02	-1.701814025001282360e+01	6.517886278050301030e+01
3.700000000000000000e+01	-4.389389001036590798e+01	-4.135726352927402871e+01	-4.135726352925628646e+01	-4.389389001035843307e+01	6.454961646625606875e+01	1.622483990865505064e+02	-1.775160091348353220e+01	6.454961646617680060e+01
3.750000000000000000e+01	-4.353375768799081413e+01	-4.111165531725353617e+01	-4.111165531724584099e+01	-4.353375768801179646e+01	6.386832781540452686e+01	1.614656253297006288e+02	-1.853437467023614360e+01	6.386832781547500559e+01
3.800000000000000000e+01	-4.316613444392953625e+01	-4.085709196192679826e+01	-4.085709196193258208e+01	-4.316613444392298504e+01	6.313006556754598364e+01	1.606285019827954841e+02	-1.937149801723825959e+01	6.313006556759169285e+01
3.850000000000000000e+01	-4.279061591166254175e+01	-4.059320539709965914e+01	-4.059320539709879938e+01	-4.279061591166860978e+01	6.232923777073862937e+01	1.597313371679477143e+02	-2.026866283205234609e+01	6.232923777082198313e+01
3.900000000000000000e+01	-4.240680037316644757e+01	-4.031962889706704090e+01	-4.031962889706760933e+01	-4.240680037316223405e+01	6.145949282232267308e+01	1.587676843391087687e+02	-2.123231566088823286e+01	6.145949282232849953e+01
4.000000000000000000e+01	-4.161273781895538093e+01	-3.974199942508248995e+01	-3.974199942508555949e+01	-4.161273781896472457e+01	5.948334245542180554e+01	1.566106489535029027e+02	-2.338935104651001495e+01	5.948334245526152841e+01
4.050000000000000000e+01	-4.120179315458695868e+01	-3.943731278063513912e+01	-3.943731278062679735e+01	-4.120179315458271674e+01	5.835931693107621498e+01	1.553994786782648987e+02	-2.460052132172118533e+01	5.835931693113882091e+01
4.100000000000000000e+01	-4.078119436549920351e+01	-3.912170714020456330e+01	-3.912170714020350459e+01	-4.078119436551152432e+01	5.713081327770528617e+01	1.540859236787819384e+02	-2.591407632131667071e+01	5.713081327767210382e+01
4.200000000000000000e+01	-3.991045415030237820e+01	-3.845727481909601408e+01	-3.845727481910390821e+01	-3.991045415030973942e+01	5.430972910362689987e+01	1.511007237021204332e+02	-2.889927629786949481e+01	5.430972910365036199e+01
4.250000000000000000e+01	-3.946040536131947363e+01	-3.810859644893574227e+01	-3.810859644895588616e+01	-3.946040536132029075e+01	5.268731714715902825e+01	1.493991090503808721e+02	-3.060089094957008271e+01	5.268731714710980896e+01
4.300000000000000000e+01	-3.900101434613616647e+01	-3.774942241249257080e+01	-3.774942241248831465e+01	-3.900101434614698803e+01	5.090035059819975771e+01	1.475347563529417982e+02	-3.246524364703341092e+01	5.090035059823363639e+01
4.400000000000000000e+01	-3.805768227522653291e+01	-3.700316551148584665e+01	-3.700316551147700039e+01	-3.805768227523719816e+01	4.674911503260430834e+01	1.432339547456294042e+02	-3.676604525435223536e+01	4.674911503264106472e+01
4.450000000000000000e+01	-3.757682597943347957e+01	-3.661921613323813318e+01	-3.661921613323450941e+01	-3.757682597942584124e+01	4.433713795729044449e+01	1.407496827745449082e+02	-3.925031722549714885e+01	4.433713795729251217e+01
4.500000000000000000e+01	-3.709314597529200341e+01	-3.623138712739138612e+01	-3.623138712738837341e+01	-3.709314597528950941e+01	4.166559407336457355e+01	1.380074302467085090e+02	-4.199256975328825092e+01	4.166559407331942566e+01
4.550000000000000000e+01	-3.661037833471582559e+01	-3.584343703917654977e+01	-3.584343703917278390e+01	-3.661037833469676173e+01	3.870626485177695741e+01	1.349789271860503561e+02	-4.502107281400815708e+01	3.870626485172466147e+01
4.600000000000000000e+01	-3.613356177827837712e+01	-3.546042636206219356e+01	-3.546042636205812215e+01	-3.613356177828001137e+01	3.543107630508529127e+01	1.316360503499399215e+02	-4.836394965006048352e+01	3.543107630509664574e+01
4.650000000000000000e+01	-3.566928096386389058e+01	-3.508896085461779535e+01	-3.508896085460268921e+01	-3.566928096386339320e+01	3.181432863851512494e+01	1.279530527660092503e+02	-5.204694723403196122e+01	3.181432863852679205e+01
4.750000000000000000e+01	-3.481331824500770722e+01	-3.441573823566622536e+01	-3.441573823567189550e+01	-3.481331824500182393e+01	2.348617948469657080e+01	1.194965399263764994e+02	-6.050346007358720613e+01	2.348617948466150551e+01
4.800000000000000000e+01	-3.444325871812135631e+01	-3.413564257914738675e+01	-3.413564257916559086e+01	-3.444325871811973627e+01	1.877043755346450737e+01	1.147185993181099093e+02	-6.528140068179547484e+01	1.877043755343063225e+01
4.900000000000000000e+01	-3.387993733409800967e+01	-3.374952994622893954e+01	-3.374952994622319125e+01	-3.387993733410340980e+01	8.371946863332146549e+00	1.041994780991128806e+02	-7.580052190090901831e+01	8.371946863307421438e+00
4.950000000000000000e+01	-3.370923490947215839e+01	-3.366610811360028777e+01	-3.366610811360438760e+01	-3.370923490946630352e+01	2.817716424008157805e+00	9.858674075747465793e+01	-8.141325924251684398e+01	2.817716423999991004e+00
5.050000000000000000e+01	-3.362387759144490218e+01	-3.375274984692618574e+01	-3.375274984692523361e+01	-3.362387759145281763e+01	-8.516124333515435296e+00	8.713932625345944416e+01	-9.286067374658716744e+01	-8.516124333515623590e+00
5.100000000000000000e+01	-3.370919426198050672e+01	-3.392281769356849708e+01	-3.392281769356928578e+01	-3.370919426197778535e+01	-1.407330060715243469e+01	8.152701655784474610e+01	-9.847298344219002786e+01	-1.407330060718632225e+01
5.150000000000000000e+01	-3.387189470264469549e+01	-3.416945812112209779e+01	-3.416945812112152936e+01	-3.387189470264772950e+01	-1.942149438961133967e+01	7.612474938937582181e+01	-1.038752506106353621e+02	-1.942149438957188679e+01
5.200000000000000000e+01	-3.410154487585754168e+01	-3.448225232469440016e+01	-3.448225232469275170e+01	-3.410154487586473948e+01	-2.448359363299883995e+01	7.100960659731026681e+01	-1.089903934026546892e+02	-2.448359363296351177e+01
5.300000000000000000e+01	-3.471270500262577485e+01	-3.525737148425909595e+01	-3.525737148426058098e+01	-3.471270500262254899e+01	-3.356889152784455632e+01	6.182119593458856599e+01	-1.181788040654632823e+02	-3.356889152794752107e+01
5.350000000000000000e+01	-3.507018292262297621e+01	-3.569569282791776743e+01	-3.569569282792107856e+01	-3.507018292263160220e+01	-3.756009872023440721e+01	5.777986458296896899e+01	-1.222201354169852721e+02	-3.756009872018722717e+01
5.450000000000000000e+01	-3.583873402153756160e+01	-3.662372679081695992e+01	-3.662372679081085636e+01	-3.583873402153603394e+01	-4.448388315654849379e+01	5.075856637919148540e+01	-1.292414336207317263e+02	-4.448388315653765801e+01
5.550000000000000000e+01	-3.663159457779378414e+01	-3.757321831475896801e+01	-3.757321831476978957e+01	-3.663159457777989303e+01	-5.015487797430510142e+01	4.499354143498001690e+01	-1.350064585650645483e+02	-5.015487797424906802e+01
5.600000000000000000e+01	-3.702519172912298728e+01	-3.804409274738172542e+01	-3.804409274737749058e+01	-3.702519172913972056e+01	-5.259008322830083415e+01	4.251256979157661675e+01	-1.374874302083082682e+02	-5.259008322823175519e+01
5.650000000000000000e+01	-3.741293024870736161e+01	-3.850843243830662743e+01	-3.850843243831950247e+01	-3.741293024870348205e+01	-5.479486406927274089e+01	4.026282585374825373e+01	-1.397371741463261685e+02	-5.479486406929998310e+01
