Frequency(Hz)	Mag_Ydd(dB)	Mag_Ydq(dB)	Mag_Yqd(dB)	Mag_Yqq(dB)	Phase_Ydd(deg)	Phase_Ydq(deg)	Phase_Yqd(deg)	Phase_Yqq(deg)
3.700000000000000000e+01	-9.420888645532285466e+01	-8.439272400533249652e+01	-6.966369681692532367e+01	-5.215463536090624785e+01	1.252408368543990917e+02	2.015419519259084780e+01	1.169954251947838060e+02	9.642748180343825481e+01
3.750000000000000000e+01	-9.086811496108018105e+01	-8.412296817628943302e+01	-6.974420071187940096e+01	-5.220776124536217822e+01	1.106240011188654080e+02	1.951091991486531541e+01	1.166075917612803323e+02	9.568445446716157221e+01
3.800000000000000000e+01	-8.828356095204783571e+01	-8.386503143837609286e+01	-6.982312796397440025e+01	-5.226023148305244348e+01	1.032303156263620423e+02	1.885459797592411846e+01	1.162306112063440224e+02	9.495343957481111374e+01
3.850000000000000000e+01	-8.625423034881615081e+01	-8.361800074226806601e+01	-6.990044921061601713e+01	-5.231203080110503123e+01	9.881728014474775534e+01	1.818750791124386978e+01	1.158647388889693133e+02	9.423417889049783014e+01
3.900000000000000000e+01	-8.460381015339277155e+01	-8.338103941247426576e+01	-6.997619773598800919e+01	-5.236314518868107371e+01	9.585926788147922650e+01	1.751154895502805786e+01	1.155091173196905601e+02	9.352644470880801464e+01
4.000000000000000000e+01	-8.203442334528496360e+01	-8.293443853334397886e+01	-7.012292379036298939e+01	-5.246326852731351664e+01	9.205102559733323631e+01	1.613930995932071966e+01	1.148285387642578286e+02	9.214457739051877638e+01
4.050000000000000000e+01	-8.099793398872479600e+01	-8.272351918580059760e+01	-7.019390578015988069e+01	-5.251225489457169004e+01	9.071456551011289093e+01	1.544559402022454186e+01	1.145029896898234938e+02	9.146997630950910718e+01
4.100000000000000000e+01	-8.007911323018477390e+01	-8.252009434478358685e+01	-7.026332008717415079e+01	-5.256051117501003489e+01	8.959956322784464078e+01	1.474821277946307596e+01	1.141865380190874788e+02	9.080596554949389088e+01
4.200000000000000000e+01	-7.850843256213205734e+01	-8.213378069560317840e+01	-7.039739900422493690e+01	-5.265479900418517900e+01	8.780550778211716079e+01	1.334582013691313129e+01	1.135808366706170318e+02	8.950878549844659915e+01
4.250000000000000000e+01	-7.782674709652243905e+01	-8.195001543177731662e+01	-7.046206759533308173e+01	-5.270081573540919351e+01	8.705762818368586409e+01	1.264219334464277367e+01	1.132910233121144898e+02	8.887517258873809567e+01
4.300000000000000000e+01	-7.719993215785588347e+01	-8.177198364161671407e+01	-7.052517317080641135e+01	-5.274607276158587155e+01	8.638021910009108240e+01	1.193770700654538430e+01	1.130092090225412278e+02	8.825126246478434666e+01
4.400000000000000000e+01	-7.608104535566737070e+01	-8.143175490306663278e+01	-7.064665702320614571e+01	-5.283428684608541204e+01	8.518320664816783960e+01	1.052799852724553809e+01	1.124694773888461867e+02	8.703167102400941246e+01
4.450000000000000000e+01	-7.557753632725444959e+01	-8.126893564849419249e+01	-7.070504038989372475e+01	-5.287723562881667760e+01	8.464492230906407144e+01	9.823534814499961243e+00	1.122110199706630311e+02	8.643557084584058714e+01
4.500000000000000000e+01	-7.510537242219946563e+01	-8.111060074065176195e+01	-7.076186809294951274e+01	-5.291940817023269972e+01	8.413789227717599317e+01	9.119747858451313860e+00	1.119595087895911405e+02	8.584833538017660715e+01
4.550000000000000000e+01	-7.466102050293872594e+01	-8.095650167109275230e+01	-7.081712325157953103e+01	-5.296080177469806927e+01	8.365718330759192156e+01	8.416898759477202674e+00	1.117151430613327818e+02	8.526975027959757369e+01
4.600000000000000000e+01	-7.424150581635774415e+01	-8.080639654135943317e+01	-7.087082814094618755e+01	-5.300141510293674685e+01	8.319892973832367034e+01	7.715206327196093561e+00	1.114772126986682395e+02	8.469962953504220593e+01
4.650000000000000000e+01	-7.384429716530692644e+01	-8.066007240834667869e+01	-7.092296782968037405e+01	-5.304124670151375653e+01	8.275995096596831502e+01	7.014860390904731346e+00	1.112459089482303796e+02	8.413776520394665681e+01
4.750000000000000000e+01	-7.310842251489792432e+01	-8.037795687391628974e+01	-7.102260391687177332e+01	-5.311856414471125731e+01	8.193004964716764960e+01	5.618819378546850096e+00	1.108012887286299701e+02	8.303806435183579993e+01
4.800000000000000000e+01	-7.276625703695788161e+01	-8.024180054173103827e+01	-7.107010875853961807e+01	-5.315605073505659561e+01	8.153523906746215744e+01	4.923372408735480654e+00	1.105874814240983852e+02	8.249985234429030356e+01
4.900000000000000000e+01	-7.212632176199434753e+01	-7.997847423225924501e+01	-7.116050152662531048e+01	-5.322868495337776551e+01	8.077840027106071830e+01	3.538095857167272484e+00	1.101760701360971950e+02	8.144577774261463787e+01
4.950000000000000000e+01	-7.182619508678500608e+01	-7.985100764950897201e+01	-7.120340155325435205e+01	-5.326383633514816296e+01	8.041404513770019946e+01	2.848404697157902010e+00	1.099779788360048229e+02	8.092955834533468362e+01
5.050000000000000000e+01	-7.126069741850660932e+01	-7.960379205235655320e+01	-7.128465597653845975e+01	-5.333182095587481086e+01	7.970885431148865052e+01	1.475164656348168402e+00	1.095954381281580226e+02	7.991789788015840656e+01
5.100000000000000000e+01	-7.099366653254084270e+01	-7.948380002178043924e+01	-7.132302430843955676e+01	-5.336466060254625177e+01	7.936652975680519262e+01	7.916810438532378980e-01	1.094105292885073766e+02	7.942211809497356967e+01
5.150000000000000000e+01	-7.073614751274361367e+01	-7.936607187657830309e+01	-7.135988838366175457e+01	-5.339673636178103777e+01	7.903020538399557893e+01	1.103141911610530795e-01	1.092298117214602939e+02	7.893281019180417957e+01
5.200000000000000000e+01	-7.048750540052238023e+01	-7.925049955669703650e+01	-7.139526948909286830e+01	-5.342805293254401278e+01	7.869936625315678214e+01	-5.689222425106923442e-01	1.090526792749172387e+02	7.844982383295830175e+01
5.300000000000000000e+01	-7.001460206563632482e+01	-7.902544713852785208e+01	-7.146159347491368408e+01	-5.348842570342888791e+01	7.805228640359753456e+01	-1.921000626220927598e+00	1.087090389896053892e+02	7.750216042424979435e+01
5.350000000000000000e+01	-6.978934317781802577e+01	-7.891578901452842842e+01	-7.149255598191784600e+01	-5.351749184826786632e+01	7.773525904871274861e+01	-2.593852488578657134e+00	1.085420901673763439e+02	7.703717456325202306e+01
5.450000000000000000e+01	-6.935903712108739683e+01	-7.870179822611319764e+01	-7.155014504921709317e+01	-5.357341137035099621e+01	7.711257912335919684e+01	-3.933237556862270612e+00	1.082165103639132866e+02	7.612415512866466827e+01
5.550000000000000000e+01	-6.895319242340728749e+01	-7.849442135225366712e+01	-7.160201973865423497e+01	-5.362641945105038843e+01	7.650321443716615022e+01	-5.264325501819011599e+00	1.079008798599627710e+02	7.523276399875862808e+01
5.600000000000000000e+01	-6.875862107798451461e+01	-7.839304395724221308e+01	-7.162584626201787330e+01	-5.365184752835088489e+01	7.620293448442228623e+01	-5.926815332262536096e+00	1.077462068836495632e+02	7.479482952062394929e+01
5.650000000000000000e+01	-6.856922876783488618e+01	-7.829312720366785072e+01	-7.164827603978061177e+01	-5.367656666184657155e+01	7.590530887506693603e+01	-6.587308809383044306e+00	1.075935871730694799e+02	7.436187976968156477e+01
5.700000000000000000e+01	-6.838475245866733587e+01	-7.819461005104520268e+01	-7.166933148472151061e+01	-5.370058437522882144e+01	7.561016556368845443e+01	-7.245830506213093436e+00	1.074424987033437731e+02	7.393379201805814205e+01
5.800000000000000000e+01	-6.802958672364243853e+01	-7.800156635517279824e+01	-7.170735577378907522e+01	-5.374654258457334066e+01	7.502665117488841418e+01	-8.557096638173526060e+00	1.071448170681788667e+02	7.309166186439857427e+01
5.900000000000000000e+01	-6.769136951915487543e+01	-7.781351089110530950e+01	-7.174003258566423824e+01	-5.378978061526964893e+01	7.445121274779218368e+01	-9.860881678659767502e+00	1.068516946914482304e+02	7.226742636342270032e+01
6.000000000000000000e+01	-6.736857913021547972e+01	-7.763008284636623557e+01	-7.176748169236203978e+01	-5.383035938406355569e+01	7.388284982412909585e+01	-1.115746981956833395e+01	1.065617250877633211e+02	7.146011458230222502e+01
6.050000000000000000e+01	-6.721254723998151803e+01	-7.754000212936387015e+01	-7.177928316444746315e+01	-5.384967098108398886e+01	7.360104723005805738e+01	-1.180315849365798364e+01	1.064175727122170514e+02	7.106251039624891064e+01
6.100000000000000000e+01	-6.705988773384311230e+01	-7.745095780767023541e+01	-7.178982872045810382e+01	-5.386834191110338566e+01	7.332070568980745406e+01	-1.244715587662680889e+01	1.062735640509304460e+02	7.066879634963156320e+01
6.200000000000000000e+01	-6.676413035593297707e+01	-7.727584364209418766e+01	-7.180720469427031105e+01	-5.390379299489984533e+01	7.276404089776779927e+01	-1.373024079401963782e+01	1.059859308998113931e+02	6.989258119348949094e+01
6.250000000000000000e+01	-6.662077600566873059e+01	-7.718970792772847744e+01	-7.181406932886137895e+01	-5.392058971464294359e+01	7.248755744589827543e+01	-1.436940433796265282e+01	1.058419981483519905e+02	6.950986722840613652e+01
6.350000000000000000e+01	-6.634253095219021645e+01	-7.702012422784375190e+01	-7.182424495091586891e+01	-5.395236827594893469e+01	7.193793213828293176e+01	-1.564315664688220764e+01	1.055528947581957198e+02	6.875472132470086706e+01
6.450000000000000000e+01	-6.607486636010565917e+01	-7.685393996415884033e+01	-7.182979708961742915e+01	-5.398178323853572635e+01	7.139232563495063744e+01	-1.691106528002367071e+01	1.052614008920025839e+02	6.801261900978531116e+01
6.500000000000000000e+01	-6.594475960820761884e+01	-7.677205737915406303e+01	-7.183088595361726902e+01	-5.399562604019889989e+01	7.112088322268510865e+01	-1.754291996599443593e+01	1.051143623340461488e+02	6.764622258804625687e+01
6.600000000000000000e+01	-6.569155753634008477e+01	-7.661059513513680486e+01	-7.182977669189645553e+01	-5.402162478158754055e+01	7.058044901265532189e+01	-1.880262153671739966e+01	1.048173307446035381e+02	6.692227159441370077e+01
6.700000000000000000e+01	-6.544717171443286929e+01	-7.645205702328337338e+01	-7.182441321607757345e+01	-5.404543294877142046e+01	7.004296634212050776e+01	-2.005721618337872414e+01	1.045153986117418583e+02	6.620952923143499902e+01
6.800000000000000000e+01	-6.521101920815178232e+01	-7.629628352658299661e+01	-7.181494733210425352e+01	-5.406712043692201064e+01	6.950808746902282564e+01	-2.130698763325369782e+01	1.042076754770091611e+02	6.550732056687853344e+01
6.850000000000000000e+01	-6.509586395697122896e+01	-7.621938826795557986e+01	-7.180872296712492187e+01	-5.407719059599122602e+01	6.924152468467256938e+01	-2.193015308932746521e+01	1.040514387100489984e+02	6.515996215601720110e+01
6.900000000000000000e+01	-6.498257402124535531e+01	-7.614313004283273756e+01	-7.180153237174533842e+01	-5.408675725275511326e+01	6.897550069131040118e+01	-2.255221194342096780e+01	1.038933345747743431e+02	6.481500277657178799e+01
